/* DATA DESCRIPTION:
Citation:	Birch, Heather; Schmidt, Daniela N; Coxall, Helen; Kroon, Dick; Ridgwell, Andy (2021): Foraminifera size analysis of 356 washed samples (>38µm) from ODP Site 208-1262 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.935498, 
	In: Birch, H et al. (2021): Raw Data for article Ecosystem Function after the K/Pg Extinction: Decoupling of Marine Carbon Pump and Diversity [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.935502
Abstract:	A representative split of 356 washed samples (>38µm) was analysed for foraminifera size. Size parameters of randomly oriented foraminifers were measured using a Malvern Mastersizer laser granulameter. The maximum diameter of the object was chosen as the most suitable size estimator because it is least affected by random orientation. The 90th percentile of the maximum diameter (or D90) was used to describe these strongly skewed distributions.
Keyword(s):	Biological pump; ecology; ecosystem function; K/Pg; Planktonic foraminifera
Related to:	Birch, Heather; Schmidt, Daniela N; Coxall, Helen K; Kroon, Dick; Ridgwell, Andy (2021): Ecosystem function after the K/Pg extinction: decoupling of marine carbon pump and diversity. Proceedings of the Royal Society B-Biological Sciences, 288(1953), 20210863, https://doi.org/10.1098/rspb.2021.0863
Coverage:	MEDIAN LATITUDE: -27.185740 * MEDIAN LONGITUDE: 1.576990 * SOUTH-BOUND LATITUDE: -27.185830 * WEST-BOUND LONGITUDE: 1.576980 * NORTH-BOUND LATITUDE: -27.185650 * EAST-BOUND LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-26T12:40:00 * DATE/TIME END: 2003-03-29T05:15:00
	MINIMUM ELEVATION: -4753.6 m * MAXIMUM ELEVATION: -4753.6 m
Event(s):	208-1262B * LATITUDE: -27.185830 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-26T12:40:00 * DATE/TIME END: 2003-03-27T21:25:00 * ELEVATION: -4753.6 m * Penetration: 209.9 m * Recovery: 212.53 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 23 cores; 209.9 m cored; 0 m drilled; 101.3 % recovery
	208-1262C * LATITUDE: -27.185650 * LONGITUDE: 1.576980 * DATE/TIME START: 2003-03-27T21:25:00 * DATE/TIME END: 2003-03-29T05:15:00 * ELEVATION: -4753.6 m * Penetration: 212.5 m * Recovery: 125.93 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 14 cores; 122.5 m cored; 90 m drilled; 102.8 % recovery
Parameter(s):	Event label (Event) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk)
	Size fraction [µm] (Size fraction) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk)
	Sample code/label (Sample label) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Depth, composite [mcd] (Depth comp) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk)
	Age model [ka] (Age model) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk) * METHOD/DEVICE: Determinded after Dinarès-Turell et al. (2014) (URI: https://doi.org/10.1016/j.epsl.2014.08.027) * COMMENT: La2011
	Percentile 90 [µm] (Perc90) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk) * METHOD/DEVICE: Grain size, Mastersizer, Malvern Instrument Inc.
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	1671 data points
*/
Event	Size fraction [µm]	Sample label	Depth comp [mcd]	Age model [ka]	Perc90 [µm]
208-1262C	1	208-1262C-12H-1,134-135	204.12	63317.579	229.2490000
208-1262C	1	208-1262C-12H-1,146-147	204.24	63373.500	218.7580000
208-1262C	1	208-1262C-12H-2,8-9	204.36	63428.650	226.0350000
208-1262C	1	208-1262C-12H-2,20-21	204.48	63456.550	236.2890000
208-1262C	1	208-1262C-12H-2,32-33	204.60	63484.450	234.5400000
208-1262C	1	208-1262C-12H-2,44-45	204.72	63512.350	242.5210000
208-1262C	1	208-1262C-12H-2,56-57	204.84	63536.750	216.3420000
208-1262C	1	208-1262C-12H-2,68-69	204.96	63560.450	207.3540000
208-1262C		208-1262C-12H-2,83-84	205.11	63590.075	219.0460000
208-1262C		208-1262C-12H-2,89-90	205.17	63607.464	190.4100000
208-1262C		208-1262C-12H-2,95-96	205.23	63630.393	191.4650000
208-1262C		208-1262C-12H-2,107-108	205.35	63676.250	198.6020000
208-1262C	1	208-1262C-12H-2,128-129	205.56	63748.938	184.6090000
208-1262C	1	208-1262C-12H-2,134-135	205.62	63768.625	
208-1262C	1	208-1262C-12H-2,140-141	205.68	63788.312	180.2040000
208-1262C	1	208-1262C-12H-2,146-147	205.74	63808.000	176.0450000
208-1262C	1	208-1262C-12H-3,2-3	205.80	63818.941	175.2330000
208-1262C	1	208-1262C-12H-3,8-9	205.86	63829.882	188.7340000
208-1262C	1	208-1262C-12H-3,14-15	205.92	63840.824	180.9710000
208-1262C	1	208-1262C-12H-3,20-21	205.98	63851.765	180.8150000
208-1262C	1	208-1262C-12H-3,32-33	206.10	63873.647	201.1580000
208-1262C	1	208-1262C-12H-3,38-39	206.16	63884.588	207.0240000
208-1262C	1	208-1262C-12H-3,44-45	206.22	63895.529	240.1420000
208-1262C	1	208-1262C-12H-3,50-51	206.28	63906.933	210.3020000
208-1262C	1	208-1262C-12H-3,56-57	206.34	63918.800	223.8730000
208-1262C	1	208-1262C-12H-3,62-63	206.40	63930.667	214.0840000
208-1262C	1	208-1262C-12H-3,68-69	206.46	63942.533	194.8340000
208-1262C	1	208-1262C-12H-3,74-75	206.52	63954.400	209.0380000
208-1262C	1	208-1262C-12H-3,80-81	206.58	63966.267	177.1270000
208-1262C	1	208-1262C-12H-3,86-87	206.64	63978.133	189.0170000
208-1262C	1	208-1262C-12H-3,92-93	206.70	63990.000	174.9710000
208-1262C	1	208-1262C-12H-3,98-99	206.76	64001.357	184.7650000
208-1262C	1	208-1262C-12H-3,104-105	206.82	64012.714	179.4240000
208-1262C	1	208-1262C-12H-3,110-111	206.88	64024.071	193.2670000
208-1262C	1	208-1262C-12H-3,116-117	206.94	64035.429	210.3210000
208-1262C	1	208-1262C-12H-3,122-123	207.00	64046.786	198.4670000
208-1262C	1	208-1262C-12H-3,128-129	207.06	64058.143	198.0800000
208-1262C	1	208-1262C-12H-3,134-135	207.12	64069.500	
208-1262C	1	208-1262C-12H-3,140-141	207.18	64080.857	211.8410000
208-1262C	1	208-1262C-12H-4,2-3	207.30	64104.750	168.7310000
208-1262C	1	208-1262C-12H-4,14-15	207.42	64131.000	171.9610000
208-1262C	1	208-1262C-12H-4,38-39	207.66	64183.500	203.8150000
208-1262C	1	208-1262C-12H-4,50-51	207.78	64211.190	183.4200000
208-1262C	1	208-1262C-12H-4,62-63	207.90	64241.762	203.6880000
208-1262C	1	208-1262C-12H-4,74-75	208.02	64272.333	199.6100000
208-1262C	1	208-1262C-12H-4,86-87	208.14	64302.905	201.0580000
208-1262C	1	208-1262C-12H-4,98-99	208.26	64328.172	196.0950000
208-1262C	1	208-1262C-12H-4,110-111	208.38	64352.379	192.0610000
208-1262C	1	208-1262C-12H-4,122-123	208.50	64376.586	191.9100000
208-1262C	1	208-1262C-12H-4,134-135	208.62	64400.793	180.6590000
208-1262C	1	208-1262C-12H-4,146-147	208.74	64425.000	176.6160000
208-1262C	1	208-1262C-12H-5,8-9	208.86	64450.750	192.0460000
208-1262C	1	208-1262C-12H-5,20-21	208.98	64476.500	178.8500000
208-1262C	1	208-1262C-12H-5,32-33	209.10	64502.250	172.8220000
208-1262C	1	208-1262C-12H-5,44-45	209.22	64528.000	141.3740000
208-1262C	1	208-1262C-12H-5,56-57	209.34	64550.138	168.2460000
208-1262C	1	208-1262C-12H-5,68-69	209.46	64572.276	168.5250000
208-1262C	1	208-1262C-12H-5,80-81	209.58	64594.414	165.5900000
208-1262C	1	208-1262C-12H-5,92-93	209.70	64616.552	158.7540000
208-1262C	1	208-1262C-12H-5,104-105	209.82	64637.778	146.3250000
208-1262C	1	208-1262C-12H-5,116-117	209.94	64654.444	146.1880000
208-1262C	1	208-1262C-12H-5,128-129	210.06	64671.111	151.3800000
208-1262C	1	208-1262C-12H-6,2-3	210.30	64704.444	135.4710000
208-1262C		208-1262C-12H-6,11-12	210.39	64716.944	133.5380000
208-1262C		208-1262C-12H-6,23-24	210.51	64733.611	137.5780000
208-1262C		208-1262C-12H-6,35-36	210.63	64758.196	140.0680000
208-1262C		208-1262C-12H-6,47-48	210.75	64783.500	143.5360000
208-1262C		208-1262C-12H-6,59-60	210.87	64808.804	182.0800000
208-1262C		208-1262C-12H-6,71-72	210.99	64834.632	138.2770000
208-1262C		208-1262C-12H-6,83-84	211.11	64866.211	188.1830000
208-1262C		208-1262C-12H-6,95-96	211.23	64897.789	199.8410000
208-1262C	1	208-1262C-12H-7,8-9	211.36	64932.000	155.2770000
208-1262C	1	208-1262C-12H-7,20-21	211.48	64962.146	173.9590000
208-1262C	1	208-1262C-12H-7,32-33	211.60	64992.293	158.9820000
208-1262C	1	208-1262C-12H-7,44-45	211.72	65022.439	157.1130000
208-1262C	1	208-1262C-12H-7,56-57	211.84	65045.952	154.5960000
208-1262B	1	208-1262B-22H-1,5-6	211.94	65061.597	206.9270000
208-1262B	1	208-1262B-22H-1,17-18	212.06	65080.371	211.5620000
208-1262B		208-1262B-22H-1,32-33	212.21	65103.839	193.5910000
208-1262B		208-1262B-22H-1,44-45	212.33	65122.613	166.9030000
208-1262B		208-1262B-22H-1,56-57	212.45	65140.455	172.2620000
208-1262B		208-1262B-22H-1,68-69	212.57	65157.364	169.7350000
208-1262B		208-1262B-22H-1,80-81	212.69	65174.273	180.1450000
208-1262B		208-1262B-22H-1,92-93	212.81	65191.182	170.7560000
208-1262B		208-1262B-22H-2,5-6	212.94	65209.500	171.0380000
208-1262B		208-1262B-22H-2,17-18	213.06	65229.000	156.4820000
208-1262B		208-1262B-22H-2,29-30	213.18	65277.000	192.1840000
208-1262B		208-1262B-22H-2,41-42	213.30	65325.000	157.4980000
208-1262B		208-1262B-22H-2,53-54	213.42	65348.250	169.9220000
208-1262B		208-1262B-22H-2,65-66	213.54	65369.250	174.2100000
208-1262B		208-1262B-22H-3,2-3	213.67	65392.000	
208-1262B		208-1262B-22H-3,14-15	213.79	65413.000	172.4820000
208-1262B		208-1262B-22H-3,26-27	213.91	65434.000	171.3720000
208-1262B		208-1262B-22H-3,38-39	214.03	65458.261	177.8540000
208-1262B		208-1262B-22H-3,50-51	214.15	65482.522	182.6700000
208-1262B		208-1262B-22H-3,62-63	214.27	65506.783	207.1380000
208-1262B		208-1262B-22H-3,74-75	214.39	65530.524	212.4660000
208-1262B		208-1262B-22H-3,83-84	214.48	65546.381	200.9370000
208-1262C	1	208-1262C-13H-1,3-4	214.57	65562.238	237.8710000
208-1262C	1	208-1262C-13H-1,33-34	214.87	65620.608	213.8510000
208-1262C	1	208-1262C-13H-1,50-51	215.04	65664.236	187.3510000
208-1262C		208-1262C-13H-1,52-53	215.06	65668.302	178.5090000
208-1262C	1	208-1262C-13H-1,53-54	215.07	65672.368	178.3240000
208-1262C	1	208-1262C-13H-1,54-55	215.08	65672.368	188.4180000
208-1262C		208-1262C-13H-1,55-56	215.09	65674.401	182.2970000
208-1262C	1	208-1262C-13H-1,56-57	215.10	65676.434	187.1920000
208-1262C	1	208-1262C-13H-1,57-58	215.11	65682.533	191.7380000
208-1262C		208-1262C-13H-1,58-59	215.12	65684.566	186.1530000
208-1262C	1	208-1262C-13H-1,59-60	215.13	65686.599	185.3660000
208-1262C	1	208-1262C-13H-1,60-61	215.14	65688.632	233.0090000
208-1262C		208-1262C-13H-1,61-62	215.15	65692.698	187.3980000
208-1262C	1	208-1262C-13H-1,62-63	215.16	65694.732	210.7410000
208-1262C	1	208-1262C-13H-1,63-64	215.17	65696.764	194.8200000
208-1262C		208-1262C-13H-1,64-65	215.18	65698.798	209.4650000
208-1262C	1	208-1262C-13H-1,65-66	215.19	65700.831	185.7710000
208-1262C	1	208-1262C-13H-1,66-67	215.20	65704.897	184.8160000
208-1262C		208-1262C-13H-1,67-68	215.21	65706.930	176.5220000
208-1262C		208-1262C-13H-1,69-70	215.23	65710.267	145.6500000
208-1262C	1	208-1262C-13H-1,70-71	215.24	65720.416	179.5490000
208-1262C		208-1262C-13H-1,71-72	215.25	65723.800	187.5730000
208-1262C		208-1262C-13H-1,72-73	215.26	65728.000	197.3410000
208-1262C	1	208-1262C-13H-1,73-74	215.27	65732.200	186.7780000
208-1262C	1	208-1262C-13H-1,74-75	215.28	65736.400	185.6970000
208-1262C		208-1262C-13H-1,75-76	215.29	65740.600	188.3990000
208-1262C	1	208-1262C-13H-1,76-77	215.30	65744.800	188.6730000
208-1262C	1	208-1262C-13H-1,77-78	215.31	65749.000	178.8930000
208-1262C		208-1262C-13H-1,78-79	215.32	65753.200	178.4440000
208-1262C	1	208-1262C-13H-1,79-80	215.33	65757.400	181.7410000
208-1262C	1	208-1262C-13H-1,80-81	215.34	65761.600	188.2920000
208-1262C		208-1262C-13H-1,81-82	215.35	65765.800	190.5180000
208-1262C	1	208-1262C-13H-1,82-83	215.36	65770.000	192.1410000
208-1262C	1	208-1262C-13H-1,83-84	215.37	65774.200	233.5130000
208-1262C		208-1262C-13H-1,84-85	215.38	65778.400	183.7080000
208-1262C	1	208-1262C-13H-1,85-86	215.39	65782.600	224.8680000
208-1262C	1	208-1262C-13H-1,86-87	215.40	65786.800	256.4230000
208-1262C		208-1262C-13H-1,93-94	215.47	65814.250	208.5220000
208-1262C		208-1262C-13H-1,99-100	215.53	65827.750	197.5720000
208-1262C		208-1262C-13H-1,102-103	215.56	65834.500	262.7720000
208-1262C	1	208-1262C-13H-1,104-105	215.58	65839.000	170.1860000
208-1262C		208-1262C-13H-1,105-106	215.59	65841.250	183.8930000
208-1262C	1	208-1262C-13H-1,106-107	215.60	65843.500	171.8650000
208-1262C	1	208-1262C-13H-1,107-108	215.61	65845.750	181.1780000
208-1262C	1	208-1262C-13H-1,109-110	215.63	65850.250	164.6680000
208-1262C	1	208-1262C-13H-1,110-111	215.64	65852.500	181.5690000
208-1262C		208-1262C-13H-1,111-112	215.65	65854.750	173.1450000
208-1262C	1	208-1262C-13H-1,112-113	215.66	65857.000	181.4410000
208-1262C	1	208-1262C-13H-1,113-114	215.67	65859.250	189.7530000
208-1262C		208-1262C-13H-1,114-115	215.68	65861.500	175.1130000
208-1262C	1	208-1262C-13H-1,115-116	215.69	65863.750	141.4150000
208-1262C		208-1262C-13H-1,117-118	215.71	65868.250	175.7030000
208-1262C	1	208-1262C-13H-1,119-120	215.73	65872.750	155.4350000
208-1262C		208-1262C-13H-1,120-121	215.74	65875.000	177.5770000
208-1262C	1	208-1262C-13H-1,121-122	215.75	65877.250	179.4290000
208-1262C		208-1262C-13H-1,123-124	215.77	65881.750	182.2230000
208-1262C	1	208-1262C-13H-1,125-126	215.79	65886.250	163.6350000
208-1262C		208-1262C-13H-1,126-127	215.80	65888.500	167.1740000
208-1262C	1	208-1262C-13H-1,128-129	215.82	65893.000	172.0040000
208-1262C	1	208-1262C-13H-1,130-131	215.84	65897.500	168.7600000
208-1262C		208-1262C-13H-1,132-133	215.86	65902.000	168.5540000
208-1262C	1	208-1262C-13H-1,134-135	215.88	65906.500	166.1280000
208-1262C	1	208-1262C-13H-1,136-137	215.90	65911.000	162.2080000
208-1262C		208-1262C-13H-1,138-139	215.92	65915.368	160.7900000
208-1262C	1	208-1262C-13H-1,139-140	215.93	65917.553	169.8490000
208-1262C		208-1262C-13H-1,141-142	215.95	65921.921	164.4540000
208-1262C	1	208-1262C-13H-1,142-143	215.96	65924.105	160.8660000
208-1262C	1	208-1262C-13H-1,145-146	215.99	65930.658	152.4000000
208-1262C	1	208-1262C-13H-1,147-148	216.01	65935.026	168.7020000
208-1262C	1	208-1262C-13H-2,0-1	216.04	65941.579	158.5490000
208-1262C	1	208-1262C-13H-2,2-3	216.06	65945.947	143.8550000
208-1262C	1	208-1262C-13H-2,3-4	216.07	65948.132	137.0960000
208-1262C	1	208-1262C-13H-2,4-5	216.08	65950.316	143.0520000
208-1262C	1	208-1262C-13H-2,5-6	216.09	65952.500	140.2470000
208-1262C	1	208-1262C-13H-2,7-8	216.11	65956.868	132.0510000
208-1262C	1	208-1262C-13H-2,8-9	216.12		129.3120000
208-1262C	1	208-1262C-13H-2,9-10	216.13		132.5260000
208-1262C	1	208-1262C-13H-2,11-12	216.15	65965.605	135.8190000
208-1262C	1	208-1262C-13H-2,13-14	216.17	65969.974	133.6810000
208-1262C	1	208-1262C-13H-2,14-15	216.18	65972.158	134.4790000
208-1262C	1	208-1262C-13H-2,15-16	216.19	65974.342	133.3490000
208-1262C	1	208-1262C-13H-2,16-17	216.20	65976.526	130.9320000
208-1262C	1	208-1262C-13H-2,17-18	216.21	65978.711	152.8620000
208-1262C	1	208-1262C-13H-2,19-20	216.23	65983.079	134.9750000
208-1262C	1	208-1262C-13H-2,20-21	216.24	65985.263	160.8130000
208-1262C	1	208-1262C-13H-2,21-22	216.25	65987.447	137.3260000
208-1262C	1	208-1262C-13H-2,22-23	216.26	65989.632	136.0980000
208-1262C	1	208-1262C-13H-2,23-24	216.27	65991.816	136.9080000
208-1262C	1	208-1262C-13H-2,26-27	216.30	65995.302	137.2370000
208-1262C	1	208-1262C-13H-2,27-28	216.31	65995.953	149.4400000
208-1262C	1	208-1262C-13H-2,31-32	216.35	65998.558	147.8470000
208-1262C	1	208-1262C-13H-2,33-34	216.37	65999.860	135.1600000
208-1262C	1	208-1262C-13H-2,34-35	216.38	66000.512	169.8800000
208-1262C	1	208-1262C-13H-2,36-37	216.40	66001.814	141.3560000
208-1262C	1	208-1262C-13H-2,37-38	216.41	66002.465	172.5180000
208-1262C	1	208-1262C-13H-2,39-40	216.43	66003.767	135.0600000
208-1262C	1	208-1262C-13H-2,40-41	216.44	66004.419	128.9260000
208-1262C	1	208-1262C-13H-2,43-44	216.47	66006.372	128.2300000
208-1262C	1	208-1262C-13H-2,46-47	216.50	66008.326	151.7180000
208-1262C	1	208-1262C-13H-2,47-48	216.51	66008.977	140.9120000
208-1262C	1	208-1262C-13H-2,48-49	216.52	66009.628	127.4560000
208-1262C	1	208-1262C-13H-2,50-51	216.54	66010.930	122.0260000
208-1262C	1	208-1262C-13H-2,52-53	216.56	66012.233	147.2330000
208-1262C	1	208-1262C-13H-2,62-63	216.66	66018.744	112.5850000
208-1262C	1	208-1262C-13H-2,64-65	216.68	66020.047	116.2930000
208-1262C	1	208-1262C-13H-2,66-67	216.70	66021.349	175.3710000
